Date;Heure;Score;Score max;Essai;;;;;;;;;;;;MOY score;Entendu score;temps jeu;Nombre essai;Temps moyen essai (secondes) 
23/07/2023;00:04:40;50;109;90;;;;;;;;;;;;;;;;
23/07/2023;00:04:43;78;109;91;;;;;;;;;;;;;;;;
23/07/2023;00:04:45;65;109;92;;;;;;;;;;;;;;;;
23/07/2023;00:04:46;53;109;93;;;;;;;;;;;;;;;;
23/07/2023;00:04:48;51;109;94;;;;;;;;;;;;;;;;
23/07/2023;00:04:51;83;109;95;;;;;;;;;;;;;;;;
23/07/2023;00:04:54;70;109;96;;;;;;;;;;;;;;;;
23/07/2023;00:04:58;101;109;97;;;;;;;;;;;;;;;;
23/07/2023;00:05:01;87;109;98;;;;;;;;;;;;;;;;
23/07/2023;00:05:02;42;109;99;;;;;;;;;;;;;;;;
23/07/2023;00:05:05;99;109;100;;;;;;;;;;;;;;;;
23/07/2023;00:05:07;47;109;101;;;;;;;;;;;;;;;;
23/07/2023;00:05:10;88;109;102;;;;;;;;;;;;;;;;
23/07/2023;00:05:11;47;109;103;;;;;;;;;;;;;;;;
23/07/2023;00:05:13;77;109;104;;;;;;;;;;;;;;;;
23/07/2023;00:05:15;41;109;105;;;;;;;;;;;;;;;;
23/07/2023;00:05:16;58;109;106;;;;;;;;;;;;;;;;
23/07/2023;00:05:19;81;109;107;;;;;;;;;;;;;;;;
23/07/2023;00:05:21;71;109;108;;;;;;;;;;;;;;;;
23/07/2023;00:05:24;68;109;109;;;;;;;;;;;;;;;;
23/07/2023;00:05:25;67;109;110;;;;;;;;;;;;;;;;
23/07/2023;00:05:26;46;109;111;;;;;;;;;;;;;;;;
23/07/2023;00:05:28;51;109;112;;;;;;;;;;;;;;;;
23/07/2023;00:05:30;63;109;113;;;;;;;;;;;;;;;;
23/07/2023;00:05:32;74;109;114;;;;;;;;;;;;;;;;
23/07/2023;00:05:35;71;109;115;;;;;;;;;;;;;;;;
23/07/2023;00:05:36;65;109;116;;;;;;;;;;;;;;;;
23/07/2023;00:05:38;68;109;117;;;;;;;;;;;;;;;;
23/07/2023;00:05:38;6;109;118;;;;;;;;;;;;;;;;
23/07/2023;00:05:42;109;109;119;;;;;;;;;;;;;;;;
